Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Insert Int (Randomized)/Data.AMT:10,1.0704159065136753e-6,9.636556916962878e-7,1.230571296146705e-6,4.043088933233588e-7,3.031645513905612e-7,5.857277582939729e-7
Insert Int (Randomized)/Data.AMT:100,1.8335952105250695e-5,1.6818004097976394e-5,2.0449487993177118e-5,6.159070809950816e-6,4.852519241702761e-6,8.968190032909911e-6
Insert Int (Randomized)/Data.AMT:1000,1.5352849097730563e-4,1.49015178746173e-4,1.6123608535387665e-4,1.8998202429222256e-5,1.2305033033566932e-5,2.87263486755332e-5
Insert Int (Randomized)/Data.AMT:10000,3.0222166660132032e-3,2.972160790857157e-3,3.0983905922602603e-3,1.896848043178167e-4,1.3752060174360462e-4,2.6077598511785836e-4
Insert Int (Randomized)/Data.AMT:100000,3.3046885175461935e-2,3.238769821597045e-2,3.372169921981445e-2,1.4052046779704575e-3,1.0749480027176454e-3,1.9371038727270347e-3
Insert Int (Randomized)/Data.AMT:1000000,0.3806990387876715,0.33467234225152204,0.4064601065975621,4.070371309410707e-2,0.0,4.4619478303957544e-2
Lookup Int (Randomized)/Data.AMT:10,1.8548219110158467e-8,1.823186536828338e-8,1.9493694907315108e-8,1.6755024393147979e-9,6.440828303933936e-10,3.5668643427048112e-9
Lookup Int (Randomized)/Data.AMT:100,4.326267562619168e-8,4.253798647790565e-8,4.488312279154046e-8,3.468833964491928e-9,1.798870293799711e-9,6.437872856247973e-9
Lookup Int (Randomized)/Data.AMT:1000,4.304010649627311e-8,4.257217799869789e-8,4.364761459948109e-8,1.6998489200588202e-9,1.3298500327652452e-9,2.403605901783805e-9
Lookup Int (Randomized)/Data.AMT:10000,6.019560226201944e-8,5.851495246936581e-8,6.268506818375975e-8,6.698253583396448e-9,3.968128490691122e-9,9.63182991916332e-9
Lookup Int (Randomized)/Data.AMT:100000,6.010463408000511e-8,5.8358106242676726e-8,6.301622512474689e-8,4.897798090963191e-9,2.6613140299174376e-9,6.820847449409221e-9
Lookup Int (Randomized)/Data.AMT:1000000,8.866600532605355e-8,8.512649590646733e-8,1.0322166768099636e-7,1.284262526008982e-8,4.138382265518609e-9,2.4835411584397904e-8
