Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Insert Int (Randomized)/Data.AMT:10,5.238063103388538e-7,5.156120149820296e-7,5.395234925423161e-7,3.467397201738201e-8,2.2281910920512114e-8,5.5617417928323055e-8
Insert Int (Randomized)/Data.AMT:100,8.68608104439263e-6,8.590803592056976e-6,8.818502430778727e-6,3.8317014377498326e-7,2.857190611627871e-7,5.94591034043493e-7
Insert Int (Randomized)/Data.AMT:1000,1.3960897437866816e-4,1.3672564921587046e-4,1.435735564587788e-4,1.0712396339046696e-5,8.142778524912542e-6,1.3900373525793896e-5
Insert Int (Randomized)/Data.AMT:10000,2.949985293132976e-3,2.8838075968985336e-3,3.1268921885189253e-3,2.976597982433784e-4,1.4776364199463386e-4,5.513385139357105e-4
Insert Int (Randomized)/Data.AMT:100000,3.22045646631604e-2,3.173184022666085e-2,3.2753911996922416e-2,1.094489971320264e-3,7.736809658775406e-4,1.4554178107189467e-3
Insert Int (Randomized)/Data.AMT:1000000,0.3475432038838555,0.3304927056532295,0.35921200812816884,1.7520761030161057e-2,0.0,2.0210961814725942e-2
Lookup Int (Randomized)/Data.AMT:10,2.0199211382843678e-8,1.982624882183597e-8,2.099625758158746e-8,1.71722116348732e-9,8.695137769131553e-10,3.1819853024517834e-9
Lookup Int (Randomized)/Data.AMT:100,4.413587543844046e-8,4.368486078749714e-8,4.5093912571221925e-8,2.129989239649783e-9,1.159019008597937e-9,3.794384983209179e-9
Lookup Int (Randomized)/Data.AMT:1000,4.4682128326882174e-8,4.412163297503088e-8,4.577397212160745e-8,2.421970039670444e-9,1.5946460675565946e-9,4.271708647130098e-9
Lookup Int (Randomized)/Data.AMT:10000,5.688708273888658e-8,5.6370221886279255e-8,5.785095545861588e-8,2.265775437362067e-9,1.3237531174568545e-9,3.5833799443401028e-9
Lookup Int (Randomized)/Data.AMT:100000,5.811789663160026e-8,5.7276393684765084e-8,5.973473870496838e-8,2.5796896162026456e-9,1.4068941635792326e-9,4.131954446682015e-9
Lookup Int (Randomized)/Data.AMT:1000000,8.323847883797126e-8,8.086279685471522e-8,8.906959727618159e-8,7.170740520794292e-9,3.194854554231334e-9,1.2331685767119665e-8
