Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Insert Int (Randomized)/Data.AMT:10,5.294992054587521e-7,5.148770082654822e-7,5.533487610796103e-7,6.194805840514343e-8,3.775771659325235e-8,9.410361902310759e-8
Insert Int (Randomized)/Data.AMT:100,1.0270913682081847e-5,1.0093614920894521e-5,1.0677433883190953e-5,8.640676299990078e-7,4.701709789195942e-7,1.5956757534268233e-6
Insert Int (Randomized)/Data.AMT:1000,1.4644420136964025e-4,1.4314486514943164e-4,1.5459708968545256e-4,1.479386769526452e-5,6.303781299269842e-6,3.0947678478008903e-5
Insert Int (Randomized)/Data.AMT:10000,3.004565462980867e-3,2.9445007425028718e-3,3.1845875277507277e-3,2.9236509618288164e-4,1.1705060875632025e-4,6.065448793404507e-4
Insert Int (Randomized)/Data.AMT:100000,3.188072367380899e-2,3.1313558335987465e-2,3.2923293537181e-2,1.5811977785062463e-3,9.547758700545962e-4,2.5576442595843943e-3
Insert Int (Randomized)/Data.AMT:1000000,0.4323500552969078,0.358395233335157,0.48307986072311987,7.618491940907222e-2,0.0,8.786660045628258e-2
Lookup Int (Randomized)/Data.AMT:10,1.8222414964414577e-8,1.7948653739187974e-8,1.8758060908135083e-8,1.2015592065828103e-9,6.709299597905248e-10,1.875901201629619e-9
Lookup Int (Randomized)/Data.AMT:100,4.355845901341363e-8,4.28103327411395e-8,4.5000872006749595e-8,3.189212952951851e-9,2.2079644508960108e-9,5.328605794055533e-9
Lookup Int (Randomized)/Data.AMT:1000,4.277806906287654e-8,4.2053863411182264e-8,4.4337849494570605e-8,3.2995757059056342e-9,2.0524535604450145e-9,5.002271626771068e-9
Lookup Int (Randomized)/Data.AMT:10000,4.209250448278045e-8,4.1625341787227045e-8,4.2785630924145964e-8,1.8021024241127418e-9,1.2643838595190346e-9,2.447049743591764e-9
Lookup Int (Randomized)/Data.AMT:100000,4.366288373268073e-8,4.291720689813675e-8,4.611855866316466e-8,2.6449817938150637e-9,1.066733235890693e-9,5.046042213191904e-9
Lookup Int (Randomized)/Data.AMT:1000000,6.04893197756037e-8,5.7471160228123115e-8,6.584912770361402e-8,8.004760836697179e-9,4.761120390096656e-9,1.2758891239712485e-8
