Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Insert Int (Randomized)/Data.AMT:10,6.559757932958571e-6,6.013681947479252e-6,7.422376497641032e-6,2.3025828761082207e-6,1.6182514688267518e-6,3.076109513389859e-6
Insert Int (Randomized)/Data.AMT:100,1.0549571840071754e-4,9.744595357650016e-5,1.1474703404160245e-4,2.6933128338862196e-5,2.2301518007013374e-5,3.155480206652985e-5
Insert Int (Randomized)/Data.AMT:1000,1.2067383476969454e-3,1.1783575671650962e-3,1.282598067920007e-3,1.366360489998866e-4,7.235209571377942e-5,2.4453237949042844e-4
Insert Int (Randomized)/Data.AMT:10000,1.3799632673689497e-2,1.3528308623265537e-2,1.4241537946643594e-2,8.722753826345747e-4,6.075987731500945e-4,1.1769800256686395e-3
Insert Int (Randomized)/Data.AMT:100000,0.15067221859298935,0.14897304746048864,0.15303576128246912,2.760421530221999e-3,2.0716335516046415e-3,3.5109379535784124e-3
Insert Int (Randomized)/Data.AMT:1000000,1.599955375878164,1.592617730757561,1.6054232892224325,8.337345247590494e-3,0.0,9.470703723656469e-3
Lookup Int (Randomized)/Data.AMT:10,2.645648925682265e-7,2.6128756953660337e-7,2.6869091693097163e-7,1.2826223321274639e-8,9.818420972199193e-9,1.9349599912670635e-8
Lookup Int (Randomized)/Data.AMT:100,4.816418660147125e-7,4.758535843792271e-7,4.886852424318911e-7,2.1083109660634995e-8,1.601924386684398e-8,2.6382258289515028e-8
Lookup Int (Randomized)/Data.AMT:1000,4.954536812876947e-7,4.849359903122284e-7,5.107995299568443e-7,4.017487502351202e-8,2.4787620271878565e-8,7.138038539211557e-8
Lookup Int (Randomized)/Data.AMT:10000,5.804271316367541e-7,5.733115230780447e-7,6.01228225695299e-7,3.33075113645045e-8,1.763801120994419e-8,5.973184502452282e-8
Lookup Int (Randomized)/Data.AMT:100000,5.517886618805391e-7,5.390844757004396e-7,5.866262523378428e-7,4.021707670243509e-8,8.610559511347403e-9,7.244266856596005e-8
Lookup Int (Randomized)/Data.AMT:1000000,8.812830346616096e-7,7.94647305633659e-7,1.0624655639956835e-6,2.5045235884140145e-7,9.00341499938329e-8,3.6439101417007857e-7
